imdb_id,movie_name,storyline,release_year,runtime,imdb_rating,vote_count,genre_hint,cleaned_story
tt18277182,Girls Will Be Girls,"At a strict boarding school nestled in the Himalayan foothills, 18-year-old Mira first discovers desire and romance. However, her curious, rebellious, coming-of-age is disrupted by her young mother, who never got to come of age herself.",2024,20241h 58m,7.0,3.5K,,strict boarding school nestled himalayan foothills year old mira first discovers desire romance however curious rebellious coming age disrupted young mother never got come age
tt31852716,Apollo 13: Survival,"In April 1970, NASA faced the greatest crisis in its history; three astronauts halfway to the moon on a spacecraft that had suffered a catastrophic explosion.",2024,20241h 38m,7.4,3.1K,,april nasa faced greatest crisis history three astronauts halfway moon spacecraft suffered catastrophic explosion
tt32394528,Hell Hole,"Hell Hole hails from the filmmaking family behind Hellbender and centers on an American-led fracking crew that uncovers a living French soldier frozen in time from a Napoleonic campaign, whose body hosts a parasitic monster.",2024,20241h 32m,4.4,1.6K,,hell hole hails filmmaking family behind hellbender centers american led fracking crew uncovers living french soldier frozen time napoleonic campaign whose body hosts parasitic monster
tt32574149,Mononoke the Movie: The Phantom in the Rain,"A deadly and mysterious master of the occult travels across feudal Japan, seeking malevolent spirits called Mononoke to slay. He must uncover their Form, Truth, and Reason to wield the mighty Exorcism Sword against them.",2024,20241h 29m,6.8,2.1K,,deadly mysterious master occult travels across feudal japan seeking malevolent spirits called mononoke slay must uncover form truth reason wield mighty exorcism sword
tt31248599,S.T.A.L.K.E.R.: Shadow of the Zone,A seasoned Free Stalker tasked with guiding a band of Mercenaries deep into The Zone to investigate a paranormal radio signal. Based on the S.T.A.L.K.E.R. video-game series by G.S.C. Game World.,2024,20241h 11m,4.7,776,,seasoned free stalker tasked guiding band mercenaries deep zone investigate paranormal radio signal based video game series game world
tt33075192,My Undesirable Friends: Part I - Last Air in Moscow,"Julia Loktev documents independent journalists in Moscow facing government crackdown as Russia invades Ukraine, capturing their fight for speech amid risks of being branded ""foreign agents"" and the country's drift towards authoritarianism.",2024,20245h 24m,8.0,380,,julia loktev documents independent journalists moscow facing government crackdown russia invades ukraine capturing fight speech amid risks branded foreign agents country drift towards authoritarianism
tt20598076,Hamlet,"Shakespeare's timeless story of revenge is reimagined as a modern psychological thriller. The classic tragedy transcends the stage through a unique, contemporary lens.",2024,20241h 57m,5.4,285,,shakespeare timeless story revenge reimagined modern psychological thriller classic tragedy transcends stage unique contemporary lens
tt7137074,Unsinkable,Award-winning film about the political intrigue and drama during the inquiry and investigation into the sinking of Titanic.,2024,20241h 40m,5.5,349,,award winning film political intrigue drama inquiry investigation sinking titanic
tt20198716,"Love, Divided",Valentina is a young pianist starting over. Her neighbor David is an inventor who hates noise. And a paper-thin wall is about to become their matchmaker.,2024,20241h 38m,6.0,5.3K,,valentina young pianist starting neighbor david inventor hates noise paper thin wall become matchmaker
tt32750439,Operation Undead,"1941. Chumphon Province, Thailand. Mok and his ragtag unit of young soldiers are thrown against the invading Japanese forces. The invaders bring with them a terrifying biological weapon, unaware that it has plans of its own.",2024,20241h 50m,5.1,1.3K,,chumphon province thailand mok ragtag unit young soldiers thrown invading japanese forces invaders bring terrifying biological weapon unaware plans
tt31629757,Slay,"After a booking mistake, four drag queens find themselves performing for a mostly unwelcoming crowd, but when vampires attack, the crowd looks to the queens to save the day.",2024,20241h 39m,6.5,1.5K,,booking mistake four drag queens find performing mostly unwelcoming crowd vampires attack crowd looks queens save day
